scenario_id,parameter,value,portfolio_irr,portfolio_gearing,total_capex,total_debt,total_revenue,total_cfads,total_equity_cash_flow,asset_1_irr,asset_1_gearing,asset_1_capex,asset_2_irr,asset_2_gearing,asset_2_capex,asset_3_irr,asset_3_gearing,asset_3_capex,asset_4_irr,asset_4_gearing,asset_4_capex,asset_5_irr,asset_5_gearing,asset_5_capex,asset_6_irr,asset_6_gearing,asset_6_capex,asset_7_irr,asset_7_gearing,asset_7_capex,asset_8_irr,asset_8_gearing,asset_8_capex
sensitivity_results_green_price_-2.0000,green_price,-2.0,0.10841908759978647,0.6514718130852838,10388.8,6768.010371780396,35210.416049565225,29568.359335693873,16304.635658381929,0.06567571300431004,0.5776664733886719,954.3999999999997,0.19204484105218136,0.6999973297119138,833.2000000000002,0.09625958964797637,0.6677749633789064,2000.0,0.09720376634440049,0.6469104766845704,987.1999999999998,0.10771326178744575,0.6499975204467773,1186.4,0.10245833728820557,0.6499987602233884,1810.8000000000004,0.10157887969947713,0.6499987602233888,2050.8,0.1225331331793131,0.6679779052734376,566.0
sensitivity_results_green_price_0.0000,green_price,0.0,0.10887714936478923,0.6514718130852838,10388.8,6768.010371780396,35303.49131706666,29661.43460319531,16404.668306280073,0.06567571300431004,0.5776664733886719,954.3999999999997,0.19543025607285328,0.6999973297119138,833.2000000000002,0.09625958964797637,0.6677749633789064,2000.0,0.09720376634440049,0.6469104766845704,987.1999999999998,0.10771326178744575,0.6499975204467773,1186.4,0.10245833728820557,0.6499987602233884,1810.8000000000004,0.10157887969947713,0.6499987602233888,2050.8,0.1225331331793131,0.6679779052734376,566.0
sensitivity_results_green_price_2.0000,green_price,2.0,0.10933921222582481,0.6514718130852838,10388.8,6768.010371780396,35396.56658456809,29754.509870696744,16503.685233700122,0.06567571300431004,0.5776664733886719,954.3999999999997,0.1988706145946943,0.6999973297119138,833.2000000000002,0.09625958964797637,0.6677749633789064,2000.0,0.09720376634440049,0.6469104766845704,987.1999999999998,0.10771326178744575,0.6499975204467773,1186.4,0.10245833728820557,0.6499987602233884,1810.8000000000004,0.10157887969947713,0.6499987602233888,2050.8,0.1225331331793131,0.6679779052734376,566.0
sensitivity_results_interest_rate_-50.0000,interest_rate,-50.0,0.11179471476814526,0.6582844743775638,10388.8,6838.785747413634,35303.49131706666,29661.43460319531,16852.852972406374,0.06883045752314068,0.5952049732208252,954.3999999999997,0.19664763685305256,0.6999973297119138,833.2000000000002,0.10177320240095093,0.6877560615539552,2000.0,0.09961542693480363,0.649225759506226,987.1999999999998,0.10951469762567094,0.6499975204467773,1186.4,0.10439419750870324,0.6499987602233884,1810.8000000000004,0.10365244610331958,0.6499987602233888,2050.8,0.12842864881192353,0.6888061523437501,566.0
sensitivity_results_interest_rate_0.0000,interest_rate,0.0,0.10887714936478923,0.6514718130852838,10388.8,6768.010371780396,35303.49131706666,29661.43460319531,16404.668306280073,0.06567571300431004,0.5776664733886719,954.3999999999997,0.19543025607285328,0.6999973297119138,833.2000000000002,0.09625958964797637,0.6677749633789064,2000.0,0.09720376634440049,0.6469104766845704,987.1999999999998,0.10771326178744575,0.6499975204467773,1186.4,0.10245833728820557,0.6499987602233884,1810.8000000000004,0.10157887969947713,0.6499987602233888,2050.8,0.1225331331793131,0.6679779052734376,566.0
sensitivity_results_interest_rate_50.0000,interest_rate,50.0,0.10553079154967533,0.6409844316155447,10388.8,6659.059063167571,35303.49131706666,29661.43460319531,16001.893877680879,0.06286785835186529,0.5611619472503663,954.3999999999997,0.1942187955748489,0.6999973297119138,833.2000000000002,0.09150282014842147,0.6489594459533693,2000.0,0.09277807663588598,0.625422048568726,987.1999999999998,0.10573359259474055,0.6499975204467773,1186.4,0.09988230053243813,0.646390080451965,1810.8000000000004,0.09836991440985032,0.6418487787246702,2050.8,0.11744814576935993,0.6483552932739257,566.0
sensitivity_results_opex_0.9200,opex,0.92,0.11112617699151808,0.6550923880013519,10388.8,6805.623800468445,35303.49131706666,29999.958006027588,16770.169042374193,0.0685312572676788,0.5870484828948976,954.3999999999997,0.1967581989818715,0.6999973297119138,833.2000000000002,0.10067979188315368,0.6787899017333985,2000.0,0.09894777786088414,0.649225759506226,987.1999999999998,0.10967236943089685,0.6499975204467773,1186.4,0.1038471841240813,0.6499987602233884,1810.8000000000004,0.10285642685385392,0.6499987602233888,2050.8,0.1256109079492115,0.675652313232422,566.0
sensitivity_results_opex_1.0000,opex,1.0,0.10887714936478912,0.6514718130852838,10388.8,6768.010371780396,35303.49131706666,29661.43460319531,16404.668306280073,0.06567571300431004,0.5776664733886719,954.3999999999997,0.19543025607285328,0.6999973297119138,833.2000000000002,0.09625958964797637,0.6677749633789064,2000.0,0.09720376634440049,0.6469104766845704,987.1999999999998,0.10771326178744575,0.6499975204467773,1186.4,0.10245833728820557,0.6499987602233884,1810.8000000000004,0.10157887969947713,0.6499987602233888,2050.8,0.1225331331793131,0.6679779052734376,566.0
sensitivity_results_opex_1.0800,opex,1.08,0.10659146810473588,0.6473859405840708,10388.8,6725.563059539795,35303.49131706666,29322.911200363025,16045.208098296462,0.06287974713576193,0.5682863235473635,954.3999999999997,0.19410684146018228,0.6999973297119138,833.2000000000002,0.09201663639752365,0.6567600250244143,2000.0,0.09494022413568903,0.6396968364715577,987.1999999999998,0.10574932476551278,0.6499975204467773,1186.4,0.10107002350204095,0.6499987602233884,1810.8000000000004,0.10029194256198329,0.6499987602233888,2050.8,0.11954426285183306,0.660303497314453,566.0
sensitivity_results_terminal_value_0.8500,terminal_value,0.85,0.10838409583821679,0.6514718130852838,10388.8,6768.010371780396,35303.49131706666,29661.43460319531,16090.268306280073,0.06456336026752502,0.5776664733886719,954.3999999999997,0.19543025607285328,0.6999973297119138,833.2000000000002,0.09537341836252781,0.6677749633789064,2000.0,0.09661822262373569,0.6469104766845704,987.1999999999998,0.10700476134971576,0.6499975204467773,1186.4,0.10192331960221655,0.6499987602233884,1810.8000000000004,0.10106610784588212,0.6499987602233888,2050.8,0.12204699686026502,0.6679779052734376,566.0
